number,player,position,games,goals,assists,points,shots,shooting%,plusminus,ppgoals,gamewinners,otgoals,penalties,pim,blocks
25,Felikss Gavars,F,39,13,12,25,109,0.119,-9,3,1,0,7,14,17
16,Drake Burgin,D,39,7,13,20,74,0.095,-7,2,2,0,8,16,23
10,Tomáš Mazura,F,34,6,14,20,53,0.113,-5,1,2,0,6,12,8
4,Mason Waite,D,39,4,16,20,75,0.053,-16,4,0,0,7,14,47
14,Justin Paul,F,37,7,12,19,85,0.082,-13,2,1,0,5,10,17
18,Tyler Cristall,F,39,7,9,16,78,0.09,-12,2,1,1,6,12,10
9,Phillippe Chapleau,D,39,5,11,16,33,0.152,-8,3,1,0,4,8,33
22,Ty Naaykens,F,39,7,7,14,60,0.117,-11,0,0,0,13,45,34
34,Jan Lasak,F,35,6,7,13,48,0.125,-3,2,1,0,1,2,24
28,Josh Boyer,F,37,3,6,9,49,0.061,-5,0,0,0,10,23,31
12,Greg Lapointe,F,26,6,2,8,52,0.115,0,1,2,0,3,6,7
7,Luc Salem,D,38,3,5,8,76,0.039,-8,2,1,1,11,30,50
17,Reilly Moran,F,34,2,6,8,42,0.048,1,0,0,0,8,19,8
19,Max Dorrington,F,35,2,5,7,57,0.035,-8,2,0,0,9,29,20
20,Nicholas Trela,F,28,2,5,7,26,0.077,-5,0,0,0,5,10,11
21,Cameron Buhl,F,26,4,2,6,53,0.075,-7,0,0,0,3,6,10
23,Jan Olenginski,D,23,3,2,5,30,0.1,-3,0,1,0,4,8,15
24,Tucker McIntosh,D,34,0,5,5,32,0,-2,0,0,0,6,12,38
29,Gunnar Thoreson,F,27,2,2,4,22,0.091,5,0,1,0,1,2,16
27,Logan Ritchie,F,28,1,3,4,33,0.03,-13,0,0,0,2,4,11
11,Will Arquiett,F,30,0,3,3,22,0,-5,0,0,0,6,12,16
26,Jake Lammens,D,8,0,1,1,1,0,-5,0,0,0,2,4,3
2,Anthony Mollica,D,5,0,1,1,3,0,-2,0,0,0,0,0,0
3,Luke Erickson,D,15,0,0,0,6,0,-4,0,0,0,5,10,6
8,Oak Macleod,F,5,0,0,0,7,0,-1,0,0,0,1,2,0
15,Evan Mitchell,D,1,0,0,0,,0,0,0,0,0,0,0,0
