number,player,position,Games,goals,assists,points,shots,shooting%,plusminus,ppgoals,gamewinners,otgoals,penalties,pim,blocks,year,wins,losses,ties,ECAC Elimination
10,Tomáš Mazura,F,28,3,9,12,36,0.083,3,1,0,0,4,8,11,2022-2023,17,19,0,quarterfinals
11,Will Arquiett,F,13,2,2,4,15,0.113,1,0,0,0,1,2,3,2022-2023,17,19,0,quarterfinals
12,Greg Lapointe,F,30,6,6,12,36,0.167,-3,0,0,0,5,13,12,2022-2023,17,19,0,quarterfinals
13,Aleksi Peltonen,F,30,6,6,12,42,0.143,1,1,1,0,1,2,9,2022-2023,17,19,0,quarterfinals
14,Justin Paul,F,16,4,1,5,45,0.089,-4,1,1,0,3,6,13,2022-2023,17,19,0,quarterfinals
16,Drake Burgin,D,32,4,4,8,45,0.089,-1,0,0,0,8,16,28,2022-2023,17,19,0,quarterfinals
17,Reilly Moran,F,28,4,3,7,19,0.211,2,1,1,0,4,8,4,2022-2023,17,19,0,quarterfinals
18,Tyler Cristall,F,32,2,11,13,43,0.047,1,0,0,0,4,8,8,2022-2023,17,19,0,quarterfinals
19,Max Dorrington,F,36,7,7,14,68,0.103,-1,4,0,0,18,36,14,2022-2023,17,19,0,quarterfinals
2,Anthony Mollica,D,12,0,1,1,5,0,-3,0,0,0,1,2,3,2022-2023,17,19,0,quarterfinals
20,Nicholas Trela,F,16,1,1,2,13,0.077,-3,0,0,0,1,2,2,2022-2023,17,19,0,quarterfinals
21,Cameron Buhl,F,35,9,9,18,101,0.089,-9,6,0,0,9,18,8,2022-2023,17,19,0,quarterfinals
22,Ty Naaykens,F,31,3,13,16,43,0.07,3,2,0,0,3,6,6,2022-2023,17,19,0,quarterfinals
23,Ashton Fry,F,21,1,0,1,31,0.032,-3,0,1,0,13,40,15,2022-2023,17,19,0,quarterfinals
24,Tucker McIntosh,D,25,3,3,6,41,0.073,-3,0,2,0,7,14,21,2022-2023,17,19,0,quarterfinals
25,Felikks Gavars,F,36,3,9,12,54,0.056,-2,0,0,0,4,8,6,2022-2023,17,19,0,quarterfinals
27,Logan Ritchie,F,5,0,0,0,2,0,-2,0,0,0,0,0,2,2022-2023,17,19,0,quarterfinals
28,Josh Boyer,F,36,5,2,7,41,0.122,-2,0,0,0,12,24,23,2022-2023,17,19,0,quarterfinals
29,Jordan Steinmetz,F,35,4,6,10,37,0.108,-10,0,1,0,13,70,42,2022-2023,17,19,0,quarterfinals
3,Luke Erickson,D,11,1,0,1,5,0.2,-2,0,0,0,5,10,9,2022-2023,17,19,0,quarterfinals
33,Tim Makowski,D,33,2,7,9,41,0.049,1,0,2,1,19,60,36,2022-2023,17,19,0,quarterfinals
34,Jan Lasak,F,34,4,11,15,49,0.82,-1,2,3,0,1,2,15,2022-2023,17,19,0,quarterfinals
4,Mason Waite,D,35,3,13,16,67,0.045,-6,0,1,1,7,14,40,2022-2023,17,19,0,quarterfinals
7,Luc Salem,D,36,10,17,27,72,0.139,11,1,4,1,14,28,45,2022-2023,17,19,0,quarterfinals
8,Oak Macleod,D,3,0,0,0,1,0,-1,0,0,0,0,0,0,2022-2023,17,19,0,quarterfinals
9,Philippe Chapleau,D,35,1,13,14,20,0.05,-11,0,0,0,4,11,32,2022-2023,17,19,0,quarterfinals
10,David Jankowski,F,33,4,12,16,83,0.048,-2,0,2,1,4,16,15,2021-2022,11,19,7,First Round
11,Will Arquiett,F,15,1,0,1,7,0.143,-5,0,0,0,5,18,5,2021-2022,11,19,7,First Round
13,Aleksi Peltonen,F,27,4,10,14,49,0.082,-1,0,1,0,0,0,15,2021-2022,11,19,7,First Round
14,Justin Paul,F,37,8,10,18,106,0.075,-17,1,1,1,13,26,25,2021-2022,11,19,7,First Round
15,Ty Naaykens,F,32,4,3,7,37,0.108,-3,1,0,0,5,10,14,2021-2022,11,19,7,First Round
16,Drake Burgin,D,22,0,1,1,8,0,-6,0,0,0,2,4,4,2021-2022,11,19,7,First Round
17,Reilly Moran,F,34,5,3,8,38,0.132,-10,0,1,1,8,38,11,2021-2022,11,19,7,First Round
18,Kaden Pickering,F,36,6,13,19,99,0.061,-4,2,3,0,8,30,33,2021-2022,11,19,7,First Round
19,Max Dorrington,F,32,8,4,12,52,0.154,-9,1,1,0,18,47,7,2021-2022,11,19,7,First Round
20,Nicholas Trela,F,28,2,2,4,48,0.042,-10,0,0,0,3,6,6,2021-2022,11,19,7,First Round
21,Cameron Buhl,F,32,4,4,8,69,0.058,-5,1,0,0,6,12,12,2021-2022,11,19,7,First Round
22,Jeff Clarke,D,24,0,1,1,13,0,-4,0,0,0,6,12,5,2021-2022,11,19,7,First Round
23,Ashton Fry,F,27,2,6,8,56,0.036,2,0,1,0,9,18,24,2021-2022,11,19,7,First Round
24,Tucker McIntosh,D,35,2,3,5,47,0.043,-5,0,0,0,7,25,46,2021-2022,11,19,7,First Round
26,Chris Pappas,F,26,2,8,10,21,0.095,-2,0,1,0,3,6,11,2021-2022,11,19,7,First Round
27,Logan Ritchie,F,15,0,1,1,11,0,-2,0,0,0,0,0,1,2021-2022,11,19,7,First Round
28,Josh Boyer,F,33,3,5,8,18,0.167,-1,0,0,0,8,16,12,2021-2022,11,19,7,First Round
29,Jordan Steinmetz,F,35,5,4,9,37,0.135,-6,0,0,0,13,26,40,2021-2022,11,19,7,First Round
3,Luke Erickson,D,25,0,4,4,11,0,-5,0,0,0,8,16,16,2021-2022,11,19,7,First Round
33,Tim Makowski,D,31,2,5,7,32,0.063,5,0,0,0,13,37,37,2021-2022,11,19,7,First Round
4,Mason Waite,D,36,3,8,11,58,0.052,-20,1,0,0,7,14,34,2021-2022,11,19,7,First Round
7,Luc Salem,D,37,2,8,10,61,0.033,-14,0,0,0,7,14,25,2021-2022,11,19,7,First Round
8,Oak Macleod,D,16,1,2,3,25,0.04,-7,1,0,0,1,2,5,2021-2022,11,19,7,First Round
9,Philippe Chapleau,D,36,4,9,13,22,0.182,2,0,0,0,6,12,32,2021-2022,11,19,7,First Round
10,David Jankowski,F,15,4,8,12,30,0.133,1,2,1,1,0,0,3,2020-2021,6,8,3,Won
12,Greg Lapointe,F,17,4,5,9,42,0.095,3,0,1,1,3,6,4,2020-2021,6,8,3,Won
13,Aleksi Peltonen,F,16,0,2,2,21,0,-5,0,0,0,1,2,13,2020-2021,6,8,3,Won
14,Justin Paul,F,14,3,2,5,28,0.107,-5,1,0,0,3,6,2,2020-2021,6,8,3,Won
15,Jacob Nielsen,F,11,0,1,1,5,0,0,0,0,0,2,15,1,2020-2021,6,8,3,Won
16,Nicholas Wildgoose,F,2,0,0,0,1,0,-2,0,0,0,0,0,0,2020-2021,6,8,3,Won
17,Reilly Moran,F,16,1,3,4,8,0.125,1,0,0,0,2,4,5,2020-2021,6,8,3,Won
18,Kaden Pickering,F,17,7,4,11,37,0.189,2,0,1,0,3,6,17,2020-2021,6,8,3,Won
19,Max Dorrington,F,14,0,1,1,5,0,-3,0,0,0,3,6,6,2020-2021,6,8,3,Won
2,Dylan Woolf,D,12,1,2,3,24,0.042,1,0,0,0,8,16,17,2020-2021,6,8,3,Won
20,Nicholas Trela,F,17,4,4,8,28,0.143,-7,2,0,0,3,6,4,2020-2021,6,8,3,Won
21,Cameron Buhl,F,17,5,10,15,37,0.135,1,1,2,1,4,19,9,2020-2021,6,8,3,Won
22,Jeff Clarke,D,11,0,1,1,5,0,-1,0,0,0,2,4,2,2020-2021,6,8,3,Won
23,Ashton Fry,F,16,2,1,3,33,0.061,-1,0,0,0,7,14,12,2020-2021,6,8,3,Won
