number,player,position,games,goals against,goals against average,saves,save%,year
1,Emil Zetterquist,G,16,39,2.4,488,0.926,2020-2021
30,Francis Boisvert,G,1,4,4.09,17,0.81,2020-2021
1,Emil Zetterquist,G,34,87,2.57,822,0.904,2021-2022
31,Francis Boisvert,G,1,3,3.1,32,0.914,2021-2022
35,Grant Adams,G,6,15,5.14,57,0.792,2021-2022
1,Emil Zetterquist,G,36,93,2.64,824,0.899,2022-2023
35,Grant Adams,G,1,1,1.53,16,0.941,2022-2023
31,Francis Boisvert,G,1,1,3.7,15,0.938,2022-2023
33,Ben Kraws,G,37,93,2.49,1061,0.919,2023-2024
35,Grant Adams,G,2,5,4.12,27,0.844,2023-2024
32,Mason Kucenski,G,1,8,8,38,0.826,2023-2024
